utc,host_monotonic_seconds,memory_used_mib,gpu_utilization_pct,compute_process_count,compute_process_memory_mib
2026-09-22T09:06:59.797612+00:00,80329.458932969,0,0,0,0
2026-09-22T09:07:00.797870+00:00,80330.459187014,0,0,0,0
2026-09-22T09:07:01.798114+00:00,80331.459431019,0,0,0,0
2026-09-22T09:07:02.798288+00:00,80332.459608004,0,0,0,0
2026-09-22T09:07:03.798471+00:00,80333.459789112,0,0,0,0
2026-09-22T09:07:04.798725+00:00,80334.45999408,0,0,0,0
2026-09-22T09:07:05.798952+00:00,80335.460272753,0,0,0,0
2026-09-22T09:07:06.799343+00:00,80336.460660011,0,0,0,0
2026-09-22T09:07:07.799558+00:00,80337.460874609,0,0,0,0
2026-09-22T09:07:08.799859+00:00,80338.461174251,0,0,0,0
2026-09-22T09:07:09.800071+00:00,80339.461388594,0,0,0,0
2026-09-22T09:07:10.800257+00:00,80340.4615749,0,0,0,0
2026-09-22T09:07:11.800504+00:00,80341.461820705,0,0,0,0
2026-09-22T09:07:12.800812+00:00,80342.462128992,0,0,0,0
2026-09-22T09:07:13.801050+00:00,80343.462366581,0,0,0,0
2026-09-22T09:07:14.801245+00:00,80344.462563165,0,0,0,0
2026-09-22T09:07:15.801422+00:00,80345.462741349,0,0,0,0
2026-09-22T09:07:16.801558+00:00,80346.462881138,0,0,0,0
2026-09-22T09:07:17.801829+00:00,80347.463148828,0,0,0,0
2026-09-22T09:07:18.802019+00:00,80348.463339846,0,0,0,0
2026-09-22T09:07:19.802229+00:00,80349.463547543,0,0,0,0
2026-09-22T09:07:20.802401+00:00,80350.463721806,0,0,0,0
2026-09-22T09:07:21.802605+00:00,80351.463923974,0,0,0,0
2026-09-22T09:07:22.802796+00:00,80352.464117499,0,0,0,0
2026-09-22T09:07:23.802933+00:00,80353.464256157,0,0,0,0
2026-09-22T09:07:24.803131+00:00,80354.464450595,0,0,0,0
2026-09-22T09:07:25.803391+00:00,80355.4647076,0,0,0,0
2026-09-22T09:07:26.803595+00:00,80356.464915642,0,0,0,0
2026-09-22T09:07:27.803792+00:00,80357.465113159,0,0,0,0
2026-09-22T09:07:28.803988+00:00,80358.465309998,0,0,0,0
2026-09-22T09:07:29.804170+00:00,80359.465490832,0,0,0,0
2026-09-22T09:07:30.804361+00:00,80360.465680142,0,0,0,0
2026-09-22T09:07:31.804538+00:00,80361.465859294,0,0,0,0
2026-09-22T09:07:32.804789+00:00,80362.466109077,0,0,0,0
2026-09-22T09:07:33.805025+00:00,80363.46634473,0,0,0,0
2026-09-22T09:07:34.805238+00:00,80364.466557815,0,0,0,0
2026-09-22T09:07:35.805438+00:00,80365.466759381,0,0,0,0
2026-09-22T09:07:36.805636+00:00,80366.466957039,0,0,0,0
2026-09-22T09:07:37.805850+00:00,80367.467170196,0,0,0,0
2026-09-22T09:07:38.806110+00:00,80368.467426333,0,0,0,0
2026-09-22T09:07:39.806327+00:00,80369.467644707,0,0,0,0
2026-09-22T09:07:40.806540+00:00,80370.467859166,0,0,0,0
2026-09-22T09:07:41.806735+00:00,80371.468055978,0,0,0,0
2026-09-22T09:07:42.806928+00:00,80372.468249159,0,0,0,0
2026-09-22T09:07:43.807215+00:00,80373.468533475,0,0,0,0
2026-09-22T09:07:44.807427+00:00,80374.468746315,0,0,0,0
2026-09-22T09:07:45.807614+00:00,80375.46893496,0,0,0,0
2026-09-22T09:07:46.807802+00:00,80376.469122873,0,0,0,0
2026-09-22T09:07:47.807978+00:00,80377.46929768,0,0,0,0
2026-09-22T09:07:48.808185+00:00,80378.469503076,0,0,0,0
2026-09-22T09:07:49.808401+00:00,80379.469718343,0,0,0,0
2026-09-22T09:07:50.808587+00:00,80380.469906903,0,0,0,0
2026-09-22T09:07:51.808872+00:00,80381.470190463,0,0,0,0
2026-09-22T09:07:52.809102+00:00,80382.470419562,0,0,0,0
2026-09-22T09:07:53.809315+00:00,80383.470635376,0,0,0,0
2026-09-22T09:07:54.809532+00:00,80384.470851137,0,0,0,0
2026-09-22T09:07:55.809824+00:00,80385.471142532,0,0,0,0
2026-09-22T09:07:56.810080+00:00,80386.47140078,0,0,0,0
2026-09-22T09:07:57.810389+00:00,80387.471705294,1,0,1,14.0
2026-09-22T09:07:58.810633+00:00,80388.471949893,559,0,1,550.0
2026-09-22T09:07:59.810850+00:00,80389.472170612,559,0,1,550.0
2026-09-22T09:08:00.811056+00:00,80390.472375812,559,0,1,550.0
2026-09-22T09:08:01.811276+00:00,80391.472594313,559,0,1,550.0
2026-09-22T09:08:02.811525+00:00,80392.472841753,559,0,1,550.0
2026-09-22T09:08:03.811715+00:00,80393.473036782,559,0,1,550.0
2026-09-22T09:08:04.811934+00:00,80394.473251139,559,0,1,550.0
2026-09-22T09:08:05.812132+00:00,80395.473452464,559,0,1,550.0
2026-09-22T09:08:06.812332+00:00,80396.473653176,559,0,1,550.0
2026-09-22T09:08:07.812533+00:00,80397.473852875,559,0,1,550.0
2026-09-22T09:08:08.812800+00:00,80398.474119999,559,0,1,550.0
2026-09-22T09:08:09.813084+00:00,80399.474404514,559,0,1,550.0
2026-09-22T09:08:10.813297+00:00,80400.474617148,559,0,1,550.0
2026-09-22T09:08:11.813511+00:00,80401.474830853,559,0,1,550.0
